0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:25:42 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:25:45 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:12 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:15 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:21 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:21 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:23 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12125
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:30 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12109
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:33 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:33 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:27:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:20 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12125
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:22 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:22 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:29 +0530] "GET /OrsProject4/ctl/MarksheetListCtl HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:42:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:42:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:42:16 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 200 351831
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:42:27 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [07/Apr/2023:21:42:53 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [07/Apr/2023:21:42:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:21:56:08 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:21:56:11 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:21:59:11 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7057
0:0:0:0:0:0:0:1 - - [07/Apr/2023:21:59:14 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:21:59:14 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [07/Apr/2023:21:59:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:21:59:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:22:00:52 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:22:29:30 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [07/Apr/2023:22:30:05 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [07/Apr/2023:22:30:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:23:34:58 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [07/Apr/2023:23:34:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
